,Job_Title,Company_Name,Company_Link,Company_location,Company_summary,Salary
78,Sourcing/Production Knit Tops/Bottoms,Bailey Apparel,https://www.indeed.com/cmp/Bailey-Apparel,"New York, NY",Our customers are mass market and discount retailers nationwide.,"$75,000 - $125,000 a year"
79,Supply Chain Consultant,Argano,,Remote,Improve supply chain agility and visibility.,
80,"newAdministrative Assistant 3, Supply Chain",Baptist Health South Florida,https://www.indeed.com/cmp/Baptist-Health-South-Florida,"Doral, FL+2 locations",The Admin Assistant 3 is responsible advanced clerical and related administrative work reporting to a Director/AVP.,
81,Supply Chain & Logistics Planner,"Cirkul, Inc.","https://www.indeed.com/cmp/Cirkul,-Inc.","Tampa, FL 33619",2-6+ years of experience in supply chain or logistics.,"$52,000 - $65,000 a year"
82,Supply Chain Analyst - Production Planning (Remote),3M,https://www.indeed.com/cmp/3M,"Cynthiana, KY 41031+4 locations•Remote",Creating production and procurement schedules for area of responsibility while developing and maintaining operating rhythms to ensure smooth supply chain…,Full-time
83,newcustomer service specialist/Aftermarket Supply Chain Fulfill...,Radiant,,"Portland, OR 97217 (Arbor Lodge area)",Supply chain experience not required but preferred.,$28 - $30 an hour
84,Supply Chain Analyst,"Clark Associates, Inc.",https://www.indeed.com/cmp/Clark-Associates,"Lancaster, PA",You will provide valuable market analyses that key members of the procurement department will rely upon to make informed and intelligent buying decisions.,
85,"Administrator, US Supply Chain",The Juice Plus+ Company,https://www.indeed.com/cmp/The-Juice-Plus-Company-1,"Collierville, TN 38017•Remote",International logistics and supply support.,Full-time
86,"Warehouse Associate, Supply Chain",Baptist Health South Florida,https://www.indeed.com/cmp/Baptist-Health-South-Florida,"Doral, FL","Responsible for performing a combination of manual or automated tasks necessary for the receipt, storage, and shipment of product.",
87,Inventory Clerk - PT - Days - Supply Chain,DHR Health,https://www.indeed.com/cmp/Dhr-Health,"Edinburg, TX 78539+1 location",Stocks and maintains adequate inventory of supplies.,Part-time +1
88,newE-Commerce Manager,TraceHop,,Remote,Oversee supply chain logistics and inventory.,"$50,000 - $75,000 a year"
89,Supply Chain Management Associate,Texas Children's Hospital,https://www.indeed.com/cmp/Texas-Children's-Hospital,"Houston, TX",Performs daily rotation of supplies and removes any product 2 weeks prior to expiration due date.,
90,2022 Supply Chain and Engineering Spring Co-op,Johnson & Johnson Family of Companies,https://www.indeed.com/cmp/Johnson-&-Johnson,"San Francisco, CA+41 locations",Supply Chain and Engineering Co-op Overview.,$21 an hour
91,Logistics Coordinator,Fox Logistics,https://www.indeed.com/cmp/Fox-Logistics,Remote,Title: *Logistics Coordinator I*Department: *Operations*Reports to*: Head of Operations*Job Group Category: *Operations.,"$42,000 - $46,000 a year"
92,newSupply Chain Analyst,MTS Systems,https://www.indeed.com/cmp/Mts-Systems-Corporation,"Eden Prairie, MN 55344",Lead kaizens to improve our supply chain processes.,Full-time
93,Supply Chain Specialist,SPI,https://www.indeed.com/cmp/Spi,"Cushing, OK 74023",Supports the supply chain organization with an emphasis on procurement activities.,"$40,000 - $60,000 a year"
94,"newReceiving Specialist - Supply Chain, Full-time 1st shift",Flagler Health+,,"Saint Augustine, FL 32086",Assists in the preparation and packaging of outgoing shipments of equipment and supplies.,Full-time
95,Supply Chain Coordinator,Rimowa,https://www.indeed.com/cmp/Rimowa,"New York, NY","The Logistics and Demand Planning Seasonal Planner will support Logistics, Transportation and Demand Planning in North America on all administrative task;…",
96,newSupply Chain Analyst,Intek Plastics,https://www.indeed.com/cmp/Intek-Plastics-1,"Hastings, MN 55033",Reviews MRP and requisitions to focus on combining purchase orders where possible and forecasts future purchasing needs in order to gain the best possible…,$27 - $33 an hour
97,Supply Chain Specialst (Rotation & Mentorship Program),Ericsson,https://www.indeed.com/cmp/Ericsson,"Plano, TX","Experience three rotations across your choice of supply chain and cross-functional roles as well as two 30-day sprints, both solo and with your RAMP cohort,…",
98,Supply Chain Analyst I,Elemica,https://www.indeed.com/cmp/Elemica,"Atlanta, GA 30342 (Buckhead area)",1-2 years of product management experience or supply chain software implementation is preferred.,
99,newSupply Chain Analyst,Varma Capital,,"New York, NY 10019 (Midtown area)",Coordinate delivery schedules and other supply chain activities.,Full-time
100,newOR Supply Chain Technician,Fort Walton Beach Medical Center,https://www.indeed.com/cmp/Healthtrust-Supply-Chain-Purchasing-Group,"Fort Walton Beach, FL 32547+20 locations",Some hospital supply experience preferred.,Full-time
101,Assistant or Associate Professor of Industrial Engineering a...,Ashland University,https://www.indeed.com/cmp/Ashland-University,"Ashland, OH 44805",Ashland University Dauch College of Business and Economics is seeking an Assistant or Associate Professor of Industrial Engineering and Supply Chain Management…,
102,newStorekeeper,United Airlines Inc.,https://www.indeed.com/cmp/United-Airlines,"Houston, TX 77002 (Downtown area)+4 locations","The department includes aircraft maintenance technicians, engineers, planners, ground equipment and facilities teams, supply chain teams and more.",Full-time
103,"newKENLINK LOGISTICS: $20.25-$24.25/hr, No marijuana drug test...",Amazon DSP,https://www.indeed.com/cmp/Kenlink-Logistics-Limited,"Maple Grove, MN 55369",Delivery Associates* strive to get every Amazon order to the customer’s door on-time.,$20.25 - $24.25 an hour
104,Project Assistant - Supply Chain,USC,https://www.indeed.com/cmp/University-of-Southern-California,"San Diego, CA",Assisting with the procurement and distribution of supplies and other materials necessary for the successful conduct of the trial.,
